"left","satisfaction_level","last_evaluation","number_project","average_montly_hours","time_spend_company","Work_accident","promotion_last_5years","sales","salary"
"0",0.4539,0.6105,6,289,5,0,0,"product_mng","low"
"0",0.3135,0.0967,9,196,9,0,0,"technical","medium"
"0",0.3722,0.8327,10,283,6,0,0,"sales","medium"
"1",0.0899,0.7464,6,162,6,0,0,"hr","medium"
"1",0.3075,0.7755,10,315,4,0,0,"technical","low"
"0",0.7943,0.477,6,185,7,0,0,"technical","medium"
"0",0.3124,0.4964,10,130,2,1,0,"product_mng","low"
"0",0.7355,0.646,6,221,2,0,0,"sales","low"
"0",0.3686,0.4125,6,210,6,1,0,"technical","high"
"0",0.5957,0.2309,8,191,4,0,0,"technical","high"
"0",0.5382,0.5315,12,205,4,0,0,"technical","low"
"0",0.4626,0.2372,11,296,5,1,0,"sales","low"
"1",0.3047,0.2411,7,217,7,0,0,"sales","low"
"0",0.764,0.4572,9,286,2,1,0,"IT","low"
"1",0.5067,0.2088,6,143,6,0,0,"support","medium"
"0",0.6414,0.3811,8,281,7,0,0,"support","medium"
"1",0.6274,0.781,6,325,9,0,0,"sales","low"
"0",0.5615,0.7271,11,244,4,0,0,"support","high"
"0",0.6836,0.709,7,181,4,0,1,"sales","medium"
"0",0.4897,0.8287,11,198,6,0,0,"sales","low"
"0",0.6505,0.6516,6,300,6,1,0,"marketing","medium"
"0",0.2032,0.5612,11,336,12,1,0,"marketing","high"
"0",0.551,0.4716,11,321,3,0,0,"sales","low"
"0",0.5381,0.624,4,260,7,1,0,"technical","medium"
"0",0.8272,0.6167,9,299,4,0,0,"sales","low"
"0",0.4733,0.2712,4,295,7,0,0,"RandD","medium"
"0",0.667,0.5939,6,312,6,0,0,"IT","low"
"1",0.6667,0.95,9,270,8,0,0,"technical","low"
"0",0.5962,0.6473,7,227,5,0,0,"support","high"
"0",0.2687,0.4087,5,227,9,0,0,"accounting","medium"
"0",0.489,0.7829,6,275,4,0,0,"marketing","medium"
"0",0.6578,0.6072,8,228,4,0,0,"technical","low"
"0",0.7053,0.4447,7,267,6,0,0,"technical","medium"
"0",0.7192,0.7191,8,302,6,0,0,"support","medium"
"0",0.8761,0.0765,7,179,5,1,0,"support","medium"
"0",0.8444,0.5616,5,272,3,0,0,"management","medium"
"1",0.7566,0.5504,8,287,8,0,0,"technical","medium"
"0",0.5008,0.618,12,276,7,0,0,"marketing","low"
"0",0.8005,0.756,11,178,6,0,0,"RandD","low"
"0",0.4376,0.5784,5,205,5,1,0,"IT","low"
"0",0.3764,0.6711,5,314,4,0,0,"technical","low"
"0",0.6559,0.7796,7,235,6,0,0,"sales","medium"
"0",0.3608,0.9216,8,261,7,0,0,"marketing","high"
"1",0.2682,0.2686,8,189,6,0,0,"sales","low"
"0",0.7182,0.2419,7,205,8,0,0,"sales","medium"
"1",0.3978,0.4517,10,159,7,0,0,"product_mng","medium"
"0",0.5609,0.5454,11,229,3,0,0,"technical","low"
"1",0.0625,0.7264,11,334,8,0,0,"technical","medium"
"0",0.5048,0.5405,7,278,4,0,0,"support","medium"
"0",0.5665,0.9267,9,332,6,0,0,"management","low"
"0",0.2339,0.2647,14,267,6,0,0,"sales","high"
"1",0.4263,0.3705,8,211,6,1,0,"technical","low"
"0",0.2189,0.4553,9,289,7,0,0,"sales","low"
"0",0.6785,0.7226,7,326,4,0,0,"RandD","low"
"0",0.3411,0.626,9,325,2,0,0,"RandD","medium"
"0",0.5924,0.2418,5,267,7,0,0,"support","low"
"0",0.7859,0.4448,8,303,7,1,0,"technical","low"
"0",0.3874,0.7347,6,309,2,0,0,"technical","low"
"0",0.8864,0.6652,10,244,3,0,0,"RandD","medium"
"0",0.6495,0.4777,8,194,5,1,0,"sales","medium"
"0",0.5406,0.4835,10,188,6,0,0,"IT","medium"
"0",0.5836,0.6681,10,202,6,0,0,"sales","medium"
"0",0.6047,0.563,10,282,6,0,1,"management","high"
"0",0.608,0.4876,6,340,6,0,0,"support","high"
"1",0.3604,0.2457,8,181,3,0,0,"RandD","medium"
"0",0.3878,0.8226,6,248,8,0,0,"support","medium"
"1",0.7153,0.7673,9,305,8,1,0,"technical","medium"
"0",0.6491,0.5152,6,199,8,0,0,"hr","high"
"1",0.1429,0.5728,13,242,6,0,0,"sales","low"
"0",0.7421,0.7205,10,253,11,0,0,"management","high"
"1",0.1267,0.5718,9,348,7,0,0,"technical","low"
"1",0.4526,0.6216,7,275,6,0,0,"sales","low"
"1",0.2791,0.6906,12,299,4,0,0,"technical","low"
"1",0.3967,0.4499,9,216,4,0,0,"sales","low"
"0",0.6616,0.5828,4,211,4,0,0,"hr","high"
"0",0.9067,0.3828,7,150,7,0,0,"sales","medium"
"0",0.3656,0.4705,9,188,5,1,0,"hr","low"
"1",0.2561,0.472,9,283,4,0,0,"hr","low"
"0",0.5976,0.9551,9,280,4,0,0,"product_mng","low"
"0",0.7632,0.3089,7,290,4,0,0,"technical","medium"
"0",0.704,0.1786,8,187,4,0,0,"support","medium"
"1",0.2681,0.1567,10,196,3,0,0,"technical","low"
"0",0.8882,0.7096,4,250,6,0,0,"management","high"
"0",0.5685,0.9142,6,267,2,1,0,"sales","medium"
"0",0.6476,0.4449,9,207,3,0,0,"management","medium"
"0",0.4841,0.8382,8,253,4,0,0,"sales","low"
"0",0.7216,0.6883,7,155,5,0,0,"sales","low"
"1",0.5169,0.3932,8,208,6,0,0,"sales","low"
"1",0.4084,0.223,5,155,4,0,0,"product_mng","low"
"0",0.9063,0.6293,12,338,4,1,0,"accounting","low"
"0",0.8677,0.5876,6,217,3,0,0,"sales","medium"
"1",0.4562,0.4685,6,158,4,0,0,"support","low"
"1",0.2978,0.2031,8,181,7,0,0,"support","low"
"0",0.3067,0.3584,9,172,7,0,0,"accounting","medium"
"0",0.6392,0.3204,8,263,5,0,0,"IT","medium"
"0",0.6397,0.239,13,264,5,1,0,"sales","high"
"0",0.7901,0.4808,9,225,6,0,0,"support","low"
"1",0.2964,0.2366,8,200,5,0,0,"marketing","low"
"0",0.9079,0.3988,10,268,8,0,0,"support","medium"
"0",0.3599,0.6106,7,257,5,0,0,"marketing","medium"
"0",0.6375,0.4726,5,170,7,0,0,"sales","low"
"0",0.4636,0.2991,9,160,4,1,0,"technical","low"
"1",0.3602,0.55,9,222,3,0,0,"sales","low"
"0",0.4168,0.6704,8,276,8,0,0,"technical","medium"
"0",0.8431,0.3572,9,245,3,0,0,"technical","low"
"0",0.4334,0.6947,8,240,6,0,0,"product_mng","low"
"0",0.7784,0.2539,3,200,4,0,0,"support","high"
"0",0.5961,0.5803,6,221,6,1,0,"management","low"
"0",0.4657,0.4379,7,258,3,0,0,"support","low"
"0",0.9277,0.7232,6,307,6,1,0,"support","high"
"0",0.585,0.3296,7,246,5,0,1,"technical","medium"
"0",0.3245,0.443,3,333,3,0,0,"technical","low"
"1",0.335,0.5531,11,254,8,0,0,"accounting","low"
"1",0.2186,0.4559,6,214,5,0,0,"technical","medium"
"0",0.5562,0.8542,8,221,4,0,0,"sales","medium"
"0",0.7032,0.4038,6,296,5,0,0,"sales","medium"
"0",0.8632,0.672,9,264,5,0,0,"hr","medium"
"0",0.4564,0.414,9,224,3,0,0,"technical","low"
"0",0.7534,0.5291,10,184,7,0,0,"RandD","medium"
"0",0.8362,0.9828,5,292,4,0,0,"marketing","low"
"0",0.4236,0.6308,6,166,5,0,0,"RandD","low"
"1",0.2121,0.5131,6,240,7,0,0,"sales","medium"
"0",0.6258,0.5333,6,236,2,0,0,"support","low"
"0",0.9281,0.5305,9,170,7,0,0,"technical","medium"
"1",0.4968,0.7909,10,335,9,0,0,"product_mng","low"
"1",0.2264,0.1966,9,178,6,0,0,"support","low"
"0",0.6149,0.5293,7,245,6,0,0,"support","low"
"0",0.6597,0.4073,9,280,3,0,0,"accounting","low"
"0",0.5166,0.5827,12,144,4,0,0,"sales","medium"
"1",0.892,0.9126,12,240,10,0,0,"marketing","low"
"0",0.767,0.5434,4,212,6,1,0,"accounting","low"
"0",0.8341,0.2196,7,226,3,0,0,"IT","low"
"0",0.2487,0.1102,8,288,5,0,0,"technical","low"
"0",0.7358,0.3651,7,367,7,0,0,"sales","medium"
"0",0.8374,0.4976,9,271,6,0,0,"sales","low"
"1",0.0782,0.866,11,345,7,0,0,"sales","medium"
"0",0.6061,0.2886,9,247,4,0,0,"technical","low"
"0",0.7766,0.4604,8,300,5,0,0,"IT","low"
"1",0.677,0.6508,7,286,6,0,0,"management","low"
"0",0.5804,0.957,4,316,5,0,0,"sales","low"
"0",0.413,0.6344,5,150,8,1,0,"technical","low"
"0",0.7863,0.7778,10,307,4,0,0,"marketing","medium"
"0",0.82,0.5967,12,210,4,0,0,"support","low"
"1",0.4333,0.1672,6,163,6,0,0,"sales","low"
"0",0.6943,0.6254,8,281,7,0,0,"IT","low"
"1",0.4849,0.162,6,211,6,0,0,"support","high"
"1",0.1507,0.4573,11,324,8,0,0,"sales","medium"
"0",0.5227,0.7691,9,327,4,0,0,"accounting","medium"
"0",0.4714,0.4478,5,267,3,0,0,"RandD","high"
"1",0.578,0.8396,9,311,8,0,0,"product_mng","low"
"0",0.5806,0.9106,6,317,7,1,0,"sales","medium"
"1",0.2246,0.4885,8,262,4,0,0,"sales","low"
"1",0.1441,0.6465,8,270,5,0,0,"accounting","low"
"0",0.5696,0.2947,6,245,5,0,0,"technical","low"
"0",0.8254,0.2532,9,206,12,0,0,"product_mng","low"
"0",0.3969,0.8721,9,279,3,1,0,"sales","low"
"0",0.4832,0.3973,10,260,4,0,0,"technical","medium"
"0",0.6445,0.1747,11,252,6,0,0,"sales","medium"
"0",0.3611,0.9425,11,182,6,0,0,"management","high"
"0",0.5754,0.6674,7,308,6,0,0,"accounting","medium"
"0",0.2975,0.1142,7,241,5,0,0,"accounting","medium"
"0",0.5844,0.4078,8,225,7,0,0,"support","low"
"0",0.52,0.5987,8,239,4,0,0,"technical","medium"
"0",0.8549,0.6724,10,260,6,0,0,"sales","low"
"0",0.5613,0.4021,10,255,4,0,0,"support","medium"
"0",0.5453,0.5337,6,161,5,1,0,"RandD","high"
"0",0.6253,0.3594,6,233,8,0,0,"marketing","medium"
"0",0.307,0.3937,9,233,3,0,0,"hr","medium"
"0",0.6778,0.3439,6,206,4,1,0,"marketing","high"
"1",0.308,0.1968,6,160,7,0,0,"sales","low"
"0",0.6931,0.4322,7,280,6,0,1,"technical","medium"
"0",0.5263,0.3469,9,265,7,0,0,"IT","low"
"0",0.0863,0.6858,12,376,10,0,0,"sales","medium"
"0",0.8325,0.6162,8,200,7,1,0,"sales","medium"
"0",0.8543,0.4572,8,238,11,1,0,"IT","medium"
"1",0.2943,0.3143,3,199,4,1,0,"sales","low"
"0",0.5212,0.8887,7,293,8,1,1,"sales","medium"
"0",0.3048,0.4161,11,224,6,0,0,"marketing","medium"
"1",0.6607,0.6787,11,359,5,0,0,"accounting","low"
"0",0.4413,0.4511,10,122,5,0,0,"support","low"
"0",0.6607,0.4986,7,225,5,0,0,"product_mng","low"
"0",0.6888,0.6757,7,240,5,0,0,"sales","low"
"1",0.6814,0.7744,8,351,5,0,0,"sales","low"
"0",0.4518,0.7204,8,324,4,0,0,"support","medium"
"0",0.5111,0.6811,4,281,6,0,0,"IT","low"
"0",0.6875,0.5287,11,210,3,0,0,"IT","low"
"0",0.9512,0.6562,8,245,4,0,0,"support","medium"
"0",0.7915,0.476,5,205,3,0,0,"IT","low"
"0",0.6363,0.4226,7,151,5,0,0,"accounting","low"
"0",0.9327,0.334,7,310,5,1,0,"sales","medium"
"1",0.5352,0.3455,8,357,6,0,0,"technical","low"
"0",0.5227,0.5543,9,160,6,0,0,"support","medium"
"1",0.3251,0.4263,8,152,4,0,0,"IT","medium"
"0",0.5715,0.4062,9,241,6,1,0,"sales","medium"
"1",0.5633,0.4266,6,135,5,0,0,"management","low"
"0",0.4225,0.8831,7,272,10,0,0,"sales","medium"
"1",0.2875,0.563,10,277,8,0,0,"support","low"
"0",0.6854,0.3111,5,280,14,0,0,"management","high"
"0",0.1473,0.2618,11,221,7,0,0,"technical","medium"
"0",0.5216,0.397,9,280,6,0,0,"sales","low"
"0",0.7979,0.8238,6,291,3,0,0,"support","low"
"0",0.5317,0.1833,7,252,4,0,0,"management","high"
"0",0.4682,0.6948,7,151,6,0,0,"IT","low"
"0",0.602,0.5607,6,300,2,0,0,"technical","medium"
"0",0.8619,0.3421,8,180,4,0,0,"hr","high"
"0",0.2378,0.9427,12,127,8,0,0,"sales","medium"
"0",0.3546,0.9832,6,252,2,0,0,"technical","low"
"0",0.2417,0.2333,5,142,6,0,0,"marketing","high"
"1",0.7765,0.7897,12,261,6,0,0,"management","medium"
"0",0.3264,0.1857,8,172,4,0,0,"IT","low"
"0",0.6354,0.4414,7,297,7,0,0,"sales","low"
"1",0.5501,0.2121,6,213,5,0,0,"marketing","low"
"1",0.8132,0.5511,11,265,5,0,0,"RandD","medium"
"0",0.5599,0.579,4,284,6,0,0,"marketing","medium"
"0",0.3066,0.6538,9,365,5,1,0,"sales","low"
"0",0.7004,0.5317,9,255,3,0,0,"sales","high"
"0",0.7182,0.5018,11,251,7,0,0,"product_mng","high"
"0",0.2417,0.3788,11,210,3,0,0,"IT","medium"
"0",0.365,0.4915,8,311,7,0,0,"sales","low"
"0",0.516,0.567,11,276,2,1,0,"technical","medium"
"1",0.1746,0.7021,11,327,5,0,0,"IT","low"
"0",0.7685,0.4819,9,320,4,0,0,"hr","low"
"0",0.6764,0.5898,10,249,3,0,0,"product_mng","low"
"0",0.8625,0.7681,6,218,2,0,0,"sales","medium"
"0",0.6892,0.5218,7,209,6,0,0,"sales","low"
"1",0.7797,0.8218,9,251,10,0,0,"sales","medium"
"0",0.8056,0.7226,6,298,4,0,0,"technical","medium"
"1",0.506,0.2668,4,182,6,0,0,"technical","low"
"0",0.1234,0.5391,9,330,9,0,0,"sales","low"
"1",0.195,0.6256,11,383,5,0,0,"hr","low"
"1",0.1711,0.6315,8,341,7,0,0,"IT","low"
"1",0.8336,0.4971,11,301,9,0,0,"sales","medium"
"0",0.6869,0.5765,5,209,7,0,0,"accounting","low"
"0",0.5968,0.7261,10,264,3,0,0,"sales","low"
"0",0.7293,0.3302,6,270,6,0,0,"support","medium"
"1",0.4882,0.5261,7,206,5,0,0,"IT","low"
"1",0.1987,0.9031,10,321,8,0,0,"support","low"
"0",0.5886,0.726,6,235,5,0,0,"support","medium"
"1",0.5805,0.4553,4,166,3,0,0,"support","low"
"1",0.6591,0.7248,11,288,7,0,0,"management","low"
"0",0.4936,0.2841,8,242,5,0,0,"technical","low"
"0",0.8095,0.2961,8,315,4,1,0,"IT","low"
"0",0.732,0.7316,11,256,8,0,0,"technical","high"
"0",0.5734,0.495,10,313,5,0,0,"sales","low"
"0",0.3961,0.8607,13,282,7,0,0,"technical","medium"
"1",0.3806,0.3782,6,158,5,0,0,"technical","low"
"1",0.6116,0.9155,9,279,8,0,0,"support","medium"
"1",0.393,0.3776,3,225,6,0,0,"sales","low"
"0",0.4883,0.4044,6,254,5,0,0,"management","high"
"0",0.7219,0.5367,6,258,11,1,0,"support","low"
"0",0.8386,0.4285,8,223,12,1,0,"IT","low"
"1",0.4045,0.1441,5,204,4,1,0,"sales","medium"
"0",0.811,0.1887,6,342,3,0,0,"support","medium"
"0",0.4755,0.365,7,345,5,0,0,"product_mng","low"
"1",0.609,0.8116,8,292,5,0,0,"support","low"
"0",0.9637,0.3996,6,341,7,0,0,"sales","medium"
"0",0.2942,0.2786,4,201,2,0,0,"sales","medium"
"0",0.7139,0.339,8,271,4,1,0,"management","low"
"0",0.5461,0.1183,8,140,7,0,0,"product_mng","high"
"1",0.6737,0.7978,9,263,7,0,0,"sales","low"
"0",0.0839,0.7714,8,354,3,0,0,"technical","medium"
"1",0.0565,0.7871,11,280,4,0,0,"product_mng","low"
"0",0.626,0.4884,9,301,2,0,0,"support","low"
"0",0.7983,0.4267,6,253,6,0,0,"accounting","medium"
"0",0.8015,0.6238,7,282,3,0,0,"support","low"
"0",0.557,0.3176,10,352,5,0,0,"technical","medium"
"0",0.5037,0.364,7,356,7,0,0,"accounting","medium"
"0",0.4116,0.4749,11,281,3,0,0,"sales","low"
"1",0.4602,0.3894,3,141,3,0,0,"sales","medium"
"0",0.2972,0.6081,6,265,8,0,0,"sales","low"
"0",0.5451,0.4056,10,194,7,1,0,"sales","medium"
"0",0.2716,0.6265,5,270,9,0,0,"technical","medium"
"0",0.3628,0.8677,10,215,4,0,0,"support","medium"
"0",0.6736,0.8349,6,161,7,0,0,"IT","medium"
"0",0.595,0.7608,7,306,6,0,0,"sales","low"
"1",0.2571,0.3029,8,157,6,0,0,"RandD","medium"
"0",0.3694,0.4739,7,245,3,0,0,"sales","medium"
"0",0.516,0.4625,10,281,2,0,0,"sales","medium"
"1",0.2888,0.2321,13,315,9,0,0,"accounting","medium"
"0",0.837,0.8946,8,290,8,0,0,"support","low"
"0",0.4539,0.723,6,245,4,0,0,"product_mng","medium"
"0",0.9283,0.6884,11,220,4,1,0,"technical","low"
"0",0.4575,0.1276,9,240,5,0,0,"sales","medium"
"0",0.5638,0.4243,7,216,4,0,0,"technical","high"
"0",0.75,0.5441,11,256,7,0,0,"RandD","medium"
"0",0.6974,0.3663,11,268,5,0,0,"sales","low"
"0",0.7332,0.3853,5,198,7,0,0,"support","low"
"0",0.6453,0.5135,6,302,6,0,0,"management","medium"
"0",0.5424,0.584,7,245,3,0,0,"management","low"
"1",0.1741,0.7391,13,261,7,0,0,"marketing","medium"
"1",0.5695,0.4866,7,286,2,0,0,"technical","medium"
"1",0.5257,0.463,5,190,3,0,0,"technical","medium"
"0",0.7111,0.363,10,342,4,0,0,"IT","medium"
"0",0.3979,0.4536,10,231,7,0,0,"technical","low"
"0",0.061,0.1136,8,316,2,0,0,"product_mng","low"
"0",0.5037,0.322,10,184,7,0,0,"product_mng","high"
"0",0.8396,0.4985,6,247,3,0,0,"IT","low"
"0",0.4507,0.4845,7,284,4,0,0,"product_mng","low"
"0",0.5021,0.7696,7,213,4,1,0,"technical","low"
"1",0.2375,0.4387,5,151,7,0,0,"sales","medium"
"0",0.6436,0.4124,7,200,6,0,0,"sales","low"
"0",0.4247,0.2296,9,222,3,1,0,"hr","medium"
"0",0.5437,0.2253,10,173,3,1,0,"management","low"
"0",0.608,0.4467,4,284,5,1,0,"support","medium"
"0",0.6966,0.3048,8,264,7,1,0,"IT","low"
"0",0.616,0.4904,8,187,5,0,0,"sales","medium"
"0",0.7266,0.3109,11,142,5,0,0,"support","low"
"0",0.1972,0.5747,9,331,6,0,0,"technical","high"
"1",0.2721,0.5216,4,245,3,0,0,"support","low"
"0",0.6504,0.4814,5,155,4,0,0,"product_mng","low"
"0",0.5151,0.5248,13,282,7,0,0,"sales","low"
"0",0.8296,0.3646,8,240,3,0,0,"technical","medium"
"1",0.533,0.4451,6,195,3,0,0,"sales","low"
"1",0.3482,0.6742,11,248,4,0,0,"hr","medium"
"1",0.2421,0.6079,13,319,8,0,0,"IT","medium"
"0",0.5192,0.4176,5,199,6,0,1,"sales","low"
"1",0.2726,0.894,9,375,8,0,0,"management","medium"
"0",0.6755,0.4469,9,260,10,0,0,"management","high"
"0",0.357,0.4602,7,195,8,0,0,"sales","low"
"0",0.8275,0.8448,8,264,4,0,0,"IT","high"
"1",0.4963,0.8,7,243,8,0,0,"technical","medium"
"0",0.5958,0.8485,11,274,3,0,0,"support","medium"
"0",0.6475,0.5462,6,305,13,0,0,"management","high"
"1",0.2844,0.2911,4,217,6,0,0,"technical","medium"
"0",0.4385,0.5001,12,234,5,0,0,"accounting","low"
"1",0.6377,0.9807,10,318,8,0,0,"technical","medium"
"0",0.4394,0.6571,7,329,6,0,0,"sales","medium"
"0",0.614,0.747,7,228,3,0,0,"accounting","medium"
"0",0.2002,0.5904,7,241,6,0,0,"sales","medium"
"0",0.4926,0.2155,8,161,5,0,0,"product_mng","medium"
"0",0.6552,0.5928,5,241,4,1,0,"sales","medium"
"0",0.193,0.5323,5,154,2,0,0,"technical","medium"
"0",0.5094,0.2264,9,250,2,0,0,"sales","low"
"0",0.5347,0.6947,7,224,3,1,0,"sales","high"
"0",0.7199,0.5946,10,216,6,1,0,"support","high"
"1",0.5761,0.9196,6,226,7,0,0,"sales","low"
"0",0.8784,0.8046,11,225,4,0,0,"technical","low"
"0",0.2351,0.4974,9,185,3,0,0,"accounting","medium"
"0",0.6487,0.5868,8,152,4,1,0,"marketing","medium"
"0",0.608,0.7257,6,197,2,0,0,"IT","medium"
"0",0.2615,0.7716,8,232,8,1,0,"sales","low"
"0",0.5751,0.4701,6,162,2,0,0,"technical","low"
"0",0.8766,0.4413,6,206,8,0,0,"sales","medium"
"0",0.668,0.7805,10,189,7,0,0,"marketing","medium"
"1",0.1188,0.4978,10,338,8,0,0,"accounting","low"
"0",0.6577,0.4552,9,226,3,0,0,"technical","medium"
"0",0.7484,0.4329,7,149,5,0,0,"support","medium"
"0",0.549,0.2336,11,317,3,0,0,"technical","low"
"0",0.7086,0.5678,7,203,5,0,0,"RandD","high"
"0",0.8497,0.871,5,294,4,0,0,"product_mng","low"
"1",0.3094,0.1782,5,135,4,0,0,"sales","medium"
"0",0.5143,0.7864,9,232,4,0,0,"support","medium"
"1",0.6681,0.5597,9,227,8,0,0,"technical","medium"
"1",0.1496,0.8055,10,298,7,0,0,"sales","low"
"1",0.0864,0.7108,11,306,6,0,0,"technical","medium"
"0",0.8653,0.3087,10,185,5,1,0,"technical","low"
"0",0.2205,0.5612,8,265,3,0,0,"sales","low"
"0",0.5071,0.7876,9,267,4,0,0,"technical","low"
"0",0.5594,0.2631,7,260,7,1,0,"technical","medium"
"0",0.4105,0.5441,9,359,6,0,0,"sales","low"
"1",0.1633,0.6166,14,340,7,0,0,"support","low"
"0",0.6783,0.0736,7,273,8,0,1,"support","low"
"0",0.6509,0.2791,10,264,4,0,0,"sales","low"
"0",0.5368,0.1279,6,143,6,0,0,"technical","high"
"0",0.6169,0.6827,11,233,14,0,0,"sales","medium"
"0",0.3713,0.6274,11,235,6,0,0,"technical","medium"
"0",0.857,0.7266,7,348,4,0,0,"technical","low"
"0",0.7146,0.1842,5,259,7,0,0,"sales","low"
"0",0.4676,0.1856,11,250,5,0,0,"product_mng","medium"
"0",0.3112,0.67,7,353,2,0,0,"sales","medium"
"0",0.3923,0.6251,4,310,5,0,0,"accounting","low"
"0",0.253,0.1987,7,177,6,0,0,"hr","medium"
"0",0.594,0.4105,6,205,6,0,0,"sales","low"
"1",0.203,0.9471,11,369,6,0,0,"support","medium"
"1",0.1003,0.7172,8,319,6,0,0,"management","low"
"0",0.6328,0.6201,8,221,4,0,0,"product_mng","low"
"0",0.7569,0.0953,9,200,7,0,0,"marketing","low"
"0",0.6984,0.3863,10,300,2,0,0,"sales","low"
"0",0.4986,0.7711,10,273,5,0,0,"technical","low"
"1",0.5548,0.7815,9,208,5,0,0,"sales","low"
"0",0.3243,0.4938,8,342,8,0,0,"support","low"
"0",0.4746,0.8284,7,281,3,1,0,"sales","medium"
"1",0.333,0.3957,5,219,4,0,0,"technical","low"
"0",0.542,0.5675,9,172,4,0,0,"RandD","medium"
"0",0.824,0.5343,9,254,5,0,0,"sales","medium"
"0",0.5456,0.5505,9,163,8,0,0,"IT","medium"
"0",0.2983,0.4484,7,221,5,0,0,"support","low"
"1",0.7186,0.7266,9,265,8,0,0,"technical","low"
